Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean
25.1,6.0,7.3,92.0,256.0,597.0
27.4,6.1,7.2,59.0,181.0,311.0
28.1,4.5,6.9,1190.0,218.0,388.0
28.3,4.2,7.0,69.0,240.0,420.0
28.2,6.0,7.0,5569.0,473.0,1894.0
27.2,7.3,7.0,34.0,234.0,927.0
27.4,6.3,7.0,44.0,487.0,1876.0
28.2,6.4,7.2,49.0,362.0,1357.0
27.9,5.9,7.0,3272.0,330.0,1284.0
27.3,4.6,7.0,65.0,631.0,1937.0
28.2,6.5,6.9,4650.0,340.0,1573.0
28.2,6.5,7.0,42.0,249.0,1221.0
26.7,6.4,6.4,45.0,142.0,376.0
28.0,6.0,6.1,56.0,136.0,438.0
29.7,5.3,6.8,99.0,106.0,523.0
28.2,3.6,6.5,22131.0,105.0,261.0
28.9,6.9,6.7,66.0,93.0,205.0
26.4,6.0,6.6,67.0,168.0,398.0
30.0,4.9,6.8,9107.0,208.0,614.0
30.8,6.3,7.0,18931.0,34.0,201.0
27.8,6.6,6.8,15525.0,149.0,347.0
26.7,7.1,7.5,46.0,239.0,1097.0
27.0,6.0,7.3,432.0,3.0,78.0
26.8,6.1,7.7,328.0,3.0,211.0
19.0,5.8,7.8,707.0,2.0,1100.0
21.4,6.1,8.0,674.0,2.0,1260.0
27.1,7.3,7.3,164.0,115.0,336.0
26.3,7.6,7.4,122.0,223.0,834.0
28.3,6.5,7.1,95.0,156.0,212.0
27.9,6.5,7.1,56.0,30.0,79.0
23.4,7.5,7.8,237.0,8281.0,18918.0
23.5,7.6,7.6,3688.0,19264.0,32918.0
22.4,7.3,7.5,82.0,15816.0,17512.0
26.8,7.5,8.0,202.0,11771.0,23191.0
26.5,7.3,7.9,232.0,9026.0,30836.0
22.0,7.4,7.9,246.0,1850.0,3900.0
27.6,6.9,8.1,3960.0,19058.0,22523.0
26.8,7.0,8.0,28222.0,16613.0,10469.0
25.6,7.2,7.8,201.0,29937.0,31034.0
26.5,7.3,8.0,221.0,16103.0,5289.0
24.0,,7.8,,,
