Temperature,Dissolved Oxygen,pH,Conductivity (mho/ Cm),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL)
25.0,8.65,8.0,332.0,56.0,1105.0
22.5,7.1,8.25,298.5,9.9,41.5
22.5,7.35,8.2,343.0,1.8,43.5
20.15,7.6,7.75,281.0,1.8,0.0
20.05,7.15,7.95,1545.0,3.9,25.0
18.6,7.5,7.75,302.5,5.4,39.0
18.7,7.5,7.7,325.0,7.9,45.0
25.5,7.5,7.75,404.0,1.8,44.0
24.5,8.5,8.2,255.0,32.4,1081.5
25.6,5.7,7.85,399.0,9.9,39.0
18.95,7.4,7.75,353.0,6.4,45.5
19.05,7.0,7.65,2252.0,6.4,41.0
23.5,7.1,8.1,337.5,1.8,41.0
28.0,6.95,7.85,281.5,25.0,56.0
28.0,6.9,7.95,274.0,23.0,55.5
25.0,7.4,7.7,286.0,15.0,121.5
28.0,6.75,7.9,1572.5,27.0,70.0
28.5,6.5,7.95,9272.0,79.5,280.0
