Temperature (C),Disolved Oxygen (mg/l),pH,Conductivity (micro_mhos/cm),Turbidity (NTU),Fecal Coliform (MPN/100ml)
37.5,3.2,7.7,402,48.2,4865
37.4,3.4,7.7,396,47.4,4825
36.7,3.4,7.8,394,48.7,4982
35.8,3.5,7.8,392,48.3,4999
35.3,3.5,7.8,389,48.6,5012
34.7,3.6,7.8,379,47.5,5045
34.5,3.6,7.9,373,47.6,5055
34.1,3.6,7.9,371,47.8,5051
33.8,3.7,7.9,349,46.6,5154
33.8,3.7,7.4,354,46.5,5142
33.2,3.7,7.4,367,46.3,5243
33.1,3.7,7.4,341,46.9,5192
32.9,3.8,7.3,350,46.4,5183
32.9,3.8,7.3,246,46.2,5191
32.8,3.8,7.3,253,46.3,5183
32.6,3.8,7.3,249,46.5,5187
31.8,3.9,7.2,300,45.3,5169
31.1,3.9,7.2,291,45.4,5267
30.9,4.0,7.2,343,43.5,5385
30.9,4.0,7.3,351,43.6,5284
31.4,3.9,7.3,310,44.5,5386
31.9,3.9,7.4,297,45.2,5401
32.6,3.8,7.4,345,44.3,5294
32.5,3.8,7.5,328,45.5,5267
32.0,3.8,7.5,316,45.3,5275
31.5,3.8,7.8,228,43.9,5643
31.5,3.6,7.8,235,44.2,5502
31.6,3.7,7.8,235,43.1,5454
32.9,3.8,7.8,249,43.2,5299
30.2,4.0,7.0,244,43.6,5395
30.7,4.0,7.4,248,44.1,5435
30.8,4.0,7.4,255,46.8,5467
31.0,3.9,7.8,320,46.8,5356
31.9,3.9,7.6,310,45.3,5355
32.6,3.8,7.6,324,45.3,5393
32.5,3.8,7.6,315,45.6,5243
32.0,3.8,7.5,355,45.6,5284
32.0,3.8,7.5,345,45.6,5286
31.4,3.9,7.2,322,44.2,5224
31.4,3.9,7.2,316,44.3,5235
31.3,3.9,7.2,318,44.3,5246
32.9,3.8,7.3,327,45.4,5246
30.8,4.0,7.3,247,45.3,5375
30.7,4.0,7.3,262,45.7,5385
30.8,4.0,7.2,245,44.2,5453
31.0,3.9,7.2,328,44.1,5454
31.9,3.9,7.2,315,44.5,5354
32.6,3.8,7.3,324,47.4,5397
32.5,3.8,7.3,315,45.9,5296
32.0,3.8,7.4,355,46.3,5275
32.6,3.8,7.4,345,43.2,5263
31.8,3.9,7.5,321,43.5,5143
31.1,3.9,7.5,319,43.6,5158
30.9,4.0,7.3,365,42.4,5483
30.9,4.0,7.4,360,42.6,5462
31.4,3.9,7.4,294,43.5,5366
31.9,3.9,7.5,285,43.6,5342
32.6,3.8,7.5,324,43.9,5142
32.0,3.8,7.5,354,44.6,5243
31.5,3.9,7.4,292,44.1,5322
31.5,3.9,7.4,286,44.1,5355
31.6,3.9,7.5,288,43.6,5374
32.9,3.8,7.5,334,44.8,5243
30.2,4.0,7.3,246,43.8,5433
30.7,4.0,7.4,265,43.7,5421
30.8,4.0,7.4,243,43.2,5312
31.0,3.9,7.5,285,43.9,5319
31.9,3.9,7.5,274,44.3,5272
32.6,3.8,7.2,336,45.3,5282
32.5,3.8,7.2,327,45.6,5278
32.0,3.8,7.3,267,45.9,5243
31.9,3.9,7.3,278,43.5,5183
31.9,3.9,7.4,283,43.2,5395
31.8,3.9,7.4,303,43.1,5378
31.8,3.9,7.4,312,43.1,5249
31.7,3.9,7.5,317,43.1,5294
31.6,3.9,7.5,316,43.6,5284
31.6,3.9,7.2,315,43.6,5238
31.5,3.9,7.2,306,43.7,5345
31.3,3.9,7.3,297,43.6,5345
31.2,3.9,7.3,296,43.6,5395
31.1,3.9,7.4,309,43.9,5384
31.0,3.9,7.0,311,43.6,5364
30.9,4.0,7.0,257,42.7,5475
30.8,4.0,7.4,252,42.4,5463
30.8,4.0,7.4,241,42.6,5482
30.7,4.0,7.5,258,42.6,5486
30.6,3.9,7.5,269,42.4,5486
30.6,3.9,7.2,249,42.2,5467
30.6,3.9,7.2,247,42.3,5455
30.6,3.9,7.0,252,42.3,5478
30.7,3.9,7.0,265,42.5,5467
30.8,3.9,7.1,255,42.3,5488
30.6,4.0,7.1,250,42.5,5423
31.0,3.9,7.1,313,43.7,5472
30.9,4.0,7.5,285,43.4,5393
31.1,3.9,7.5,326,43.2,5374
32.9,3.8,7.5,247,46.1,5284
30.8,4.0,7.2,266,46.1,5442
30.1,3.9,7.2,248,44.1,5482
30.1,3.9,7.0,246,42.3,5427
30.2,3.9,7.0,264,42.5,5427
30.2,3.9,7.1,241,42.6,5482
30.3,4.0,7.1,240,42.3,5472
30.3,4.0,7.1,260,42.3,5485
30.3,4.0,7.6,243,42.3,5486
30.5,4.0,7.6,243,42.6,5423
30.5,4.0,7.6,256,42.4,5234
30.8,4.0,7.2,241,43.3,5232
31.1,3.9,7.2,294,43.9,5134
31.1,3.9,7.0,271,46.7,5284
31.1,3.9,7.0,282,46.5,5248
31.2,3.9,7.1,302,44.0,5284
31.2,3.9,7.1,302,44.2,5233
31.1,3.9,7.1,314,43.9,5284
31.2,3.9,7.5,303,44.1,5284
31.2,3.9,7.5,300,44.2,5273
30.8,4.0,7.5,245,44.3,5378
30.8,4.0,7.5,239,43.0,5394
30.9,4.0,7.5,238,43.8,5319
30.9,4.0,7.2,237,43.6,5393
30.9,4.0,7.2,252,43.6,5394
30.9,4.0,7.0,250,43.5,5486
31.2,3.9,7.0,306,43.6,5473
31.3,3.9,7.1,295,43.5,5435
31.5,3.9,7.1,296,43.4,5343
31.9,3.9,7.1,283,43.2,5342
32.5,3.8,7.2,329,46.1,5244
32.8,3.8,7.3,352,46.1,5238
33.1,3.7,7.3,356,44.1,5135
33.6,3.7,7.3,355,44.6,5137
34.4,3.6,7.8,376,44.7,5023
35.5,3.5,7.8,386,46.7,4985
36.2,3.4,7.8,388,45.8,4893
36.9,3.4,8.0,389,46.9,4829
37.0,3.3,8.0,391,46.8,4867
37.8,3.3,8.1,394,46.8,4852
38.0,3.2,8.2,401,46.7,4813
37.5,3.3,8.2,400,47.0,4814
37.4,3.3,8.1,399,47.1,4829
36.7,3.4,8.0,395,47.2,4833
35.8,3.5,7.8,390,47.2,4856
34.6,3.6,7.8,383,46.3,4956
33.8,3.7,7.8,373,46.2,5103
32.6,3.8,7.7,331,44.3,5233
31.8,3.9,7.5,281,44.2,5242
31.1,3.9,7.5,285,43.9,5234
